COUNTRY CODE	MOBILE NUMBER	SONG NUMBER	TIMESTAMP
FR	+33 7 42 60 77 43	14	2025-05-30 14:47:17
FR	+33 7 51 20 78 44	18	2025-05-30 14:57:23
FR	+33 6 55 83 86 86	9	2025-05-30 14:53:12
FR	+33 7 24 49 43 96	21	2025-05-30 14:03:09
FR	+33 7 42 01 94 84	2	2025-05-30 14:34:53
FR	+33 6 21 61 21 53	20	2025-05-30 14:28:10
FR	+33 7 25 61 18 31	15	2025-05-30 14:06:08
FR	+33 6 81 62 28 26	7	2025-05-30 14:57:19
FR	+33 7 63 08 00 69	12	2025-05-30 14:49:31
FR	+33 6 65 60 67 73	8	2025-05-30 14:47:25
FR	+33 7 41 67 79 36	15	2025-05-30 14:26:14
FR	+33 7 87 74 30 25	3	2025-05-30 14:47:22
FR	+33 6 14 99 63 06	14	2025-05-30 14:08:38
FR	+33 6 45 67 20 34	17	2025-05-30 14:45:11
FR	+33 6 96 72 24 18	4	2025-05-30 14:30:30
FR	+33 6 38 02 84 66	18	2025-05-30 14:16:26
FR	+33 7 56 09 36 41	8	2025-05-30 14:56:10
FR	+33 6 84 83 08 95	4	2025-05-30 14:16:43
FR	+33 7 68 46 52 06	2	2025-05-30 14:34:29
FR	+33 7 09 63 79 66	6	2025-05-30 14:22:58
FR	+33 6 04 29 49 89	22	2025-05-30 14:14:19
FR	+33 7 97 02 51 25	10	2025-05-30 14:41:05
FR	+33 6 48 38 19 97	4	2025-05-30 14:27:23
FR	+33 7 74 62 64 85	22	2025-05-30 14:18:54
FR	+33 6 60 62 21 83	18	2025-05-30 14:53:55
FR	+33 6 39 96 67 77	12	2025-05-30 14:57:01
FR	+33 7 29 47 67 06	2	2025-05-30 14:27:01
FR	+33 6 78 85 48 86	10	2025-05-30 14:24:24
FR	+33 6 16 63 15 79	4	2025-05-30 14:06:04
FR	+33 6 72 10 58 80	14	2025-05-30 14:48:27
FR	+33 7 82 16 85 30	16	2025-05-30 14:37:15
FR	+33 6 73 23 27 79	15	2025-05-30 14:33:40
FR	+33 6 27 97 82 47	8	2025-05-30 14:04:04
FR	+33 7 48 32 15 25	14	2025-05-30 14:12:12
FR	+33 7 60 37 92 00	23	2025-05-30 14:21:00
FR	+33 6 25 90 62 27	25	2025-05-30 13:59:11
FR	+33 7 05 45 71 33	8	2025-05-30 14:26:59
FR	+33 7 90 00 90 49	21	2025-05-30 14:28:00
FR	+33 7 68 95 33 92	16	2025-05-30 14:24:43
FR	+33 7 90 67 91 55	13	2025-05-30 14:42:35
FR	+33 6 91 27 11 24	18	2025-05-30 14:38:42
FR	+33 7 06 47 85 45	15	2025-05-30 14:12:02
FR	+33 6 09 83 32 21	21	2025-05-30 14:17:22
FR	+33 7 99 22 90 81	24	2025-05-30 14:22:16
FR	+33 6 49 53 53 97	25	2025-05-30 14:02:42
FR	+33 7 85 79 30 47	13	2025-05-30 14:06:17
FR	+33 7 94 16 88 62	9	2025-05-30 14:28:26
FR	+33 6 18 79 20 87	15	2025-05-30 14:28:16
FR	+33 6 03 03 18 17	13	2025-05-30 14:06:35
FR	+33 6 22 39 97 88	1	2025-05-30 14:35:30
FR	+33 7 99 17 71 07	25	2025-05-30 14:16:02
FR	+33 7 32 03 14 18	7	2025-05-30 14:41:53
FR	+33 6 60 45 96 78	9	2025-05-30 14:57:16
FR	+33 6 96 08 08 21	24	2025-05-30 14:32:29
FR	+33 6 65 35 63 70	1	2025-05-30 14:50:40
FR	+33 6 67 22 40 89	12	2025-05-30 14:35:21
FR	+33 6 64 08 08 65	8	2025-05-30 14:32:05
FR	+33 7 40 27 95 09	24	2025-05-30 14:49:28
FR	+33 7 83 05 60 07	11	2025-05-30 14:04:11
FR	+33 7 63 52 87 48	19	2025-05-30 14:56:43
FR	+33 7 28 41 60 97	17	2025-05-30 13:59:15
FR	+33 7 21 67 22 80	8	2025-05-30 14:27:42
FR	+33 6 47 62 24 63	3	2025-05-30 14:23:18
FR	+33 6 97 67 37 86	3	2025-05-30 14:41:14
FR	+33 6 38 03 57 27	1	2025-05-30 14:52:10
FR	+33 7 77 66 46 03	5	2025-05-30 14:02:11
FR	+33 7 64 75 10 72	10	2025-05-30 14:16:17
FR	+33 7 40 14 30 31	7	2025-05-30 14:15:45
FR	+33 7 72 23 73 32	9	2025-05-30 14:06:02
FR	+33 6 23 06 69 43	7	2025-05-30 14:33:36
FR	+33 6 34 26 82 46	9	2025-05-30 14:20:43
FR	+33 6 24 76 68 26	8	2025-05-30 14:21:08
FR	+33 6 52 13 76 79	12	2025-05-30 14:45:15
FR	+33 6 89 52 21 77	2	2025-05-30 14:48:02
FR	+33 6 54 57 80 17	1	2025-05-30 14:46:47
FR	+33 6 91 08 01 71	16	2025-05-30 14:29:22
FR	+33 6 70 25 76 05	23	2025-05-30 14:26:09
FR	+33 6 37 05 57 87	23	2025-05-30 14:10:42
FR	+33 7 27 08 85 50	24	2025-05-30 14:17:26
FR	+33 7 35 15 95 53	5	2025-05-30 14:24:46
FR	+33 6 94 74 12 58	3	2025-05-30 14:20:55
FR	+33 6 91 86 61 51	12	2025-05-30 14:11:50
FR	+33 7 53 63 40 75	8	2025-05-30 14:35:40
FR	+33 7 40 63 43 43	22	2025-05-30 14:07:19
FR	+33 7 10 47 62 70	3	2025-05-30 14:34:50
FR	+33 6 16 51 01 80	1	2025-05-30 14:14:49
FR	+33 7 25 10 53 69	3	2025-05-30 14:34:25
FR	+33 6 06 00 62 02	5	2025-05-30 14:35:04
FR	+33 7 01 84 31 29	15	2025-05-30 14:14:23
FR	+33 6 69 95 43 02	14	2025-05-30 14:33:48
FR	+33 7 01 71 17 06	3	2025-05-30 14:39:06
FR	+33 7 23 35 08 64	1	2025-05-30 14:01:10
FR	+33 7 93 02 87 06	5	2025-05-30 14:17:04
FR	+33 7 98 21 45 93	23	2025-05-30 14:34:57
FR	+33 7 47 81 34 37	14	2025-05-30 14:57:16
FR	+33 6 81 92 90 97	7	2025-05-30 14:51:30
FR	+33 7 93 09 09 45	9	2025-05-30 14:48:30
FR	+33 7 07 12 61 65	15	2025-05-30 14:35:17
FR	+33 6 27 83 16 23	15	2025-05-30 14:37:12
FR	+33 6 38 61 56 43	10	2025-05-30 14:22:49
FR	+33 6 86 17 61 02	13	2025-05-30 14:30:07
FR	+33 7 73 32 11 17	19	2025-05-30 14:54:48
FR	+33 6 32 77 26 23	7	2025-05-30 14:28:07
FR	+33 6 33 81 12 87	17	2025-05-30 14:49:47
FR	+33 6 50 63 23 41	20	2025-05-30 14:25:11
FR	+33 6 91 25 61 23	4	2025-05-30 14:12:06
FR	+33 6 30 71 32 84	5	2025-05-30 14:52:31
FR	+33 6 69 09 17 06	23	2025-05-30 14:18:34
FR	+33 6 84 04 40 80	7	2025-05-30 14:33:22
FR	+33 6 03 77 73 30	13	2025-05-30 14:10:43
FR	+33 6 45 22 50 09	15	2025-05-30 14:16:35
FR	+33 7 93 15 80 00	11	2025-05-30 14:50:31
FR	+33 7 62 46 65 28	4	2025-05-30 14:44:17
FR	+33 6 19 03 07 62	13	2025-05-30 14:24:36
FR	+33 7 78 46 42 72	7	2025-05-30 14:34:24
FR	+33 6 35 07 30 93	19	2025-05-30 14:19:27
FR	+33 6 95 64 67 91	22	2025-05-30 14:33:13
FR	+33 7 98 00 56 69	2	2025-05-30 14:55:13
FR	+33 7 89 20 06 52	10	2025-05-30 14:51:07
FR	+33 7 20 25 85 55	13	2025-05-30 14:09:50
FR	+33 7 29 86 74 27	25	2025-05-30 14:23:16
FR	+33 6 04 55 04 74	21	2025-05-30 14:51:16
FR	+33 6 18 64 41 48	6	2025-05-30 14:14:54
FR	+33 6 81 15 00 29	12	2025-05-30 14:57:31
FR	+33 6 54 35 08 33	12	2025-05-30 14:12:46
FR	+33 6 40 28 84 36	20	2025-05-30 14:44:58
FR	+33 7 17 78 54 49	11	2025-05-30 14:00:36
FR	+33 6 07 24 85 88	23	2025-05-30 14:58:00
FR	+33 6 51 40 32 36	25	2025-05-30 14:37:13
FR	+33 7 02 07 51 95	7	2025-05-30 14:28:24
FR	+33 6 79 36 88 39	1	2025-05-30 14:01:58
FR	+33 7 65 74 86 24	1	2025-05-30 14:10:12
FR	+33 7 15 19 74 16	25	2025-05-30 14:46:40
FR	+33 7 79 27 85 94	25	2025-05-30 14:43:00
FR	+33 7 71 78 33 55	20	2025-05-30 14:10:24
FR	+33 6 35 08 48 54	13	2025-05-30 14:19:25
FR	+33 6 05 98 90 09	9	2025-05-30 14:24:32
FR	+33 6 71 20 64 21	3	2025-05-30 14:21:21
FR	+33 7 78 57 56 80	7	2025-05-30 14:36:28
FR	+33 7 47 01 14 63	6	2025-05-30 14:31:45
FR	+33 7 34 85 34 79	8	2025-05-30 14:52:58
FR	+33 6 75 83 94 30	9	2025-05-30 14:10:58
FR	+33 6 62 92 98 41	5	2025-05-30 14:27:29
FR	+33 7 01 76 07 20	1	2025-05-30 14:39:11
FR	+33 6 50 80 31 97	19	2025-05-30 14:46:30
FR	+33 7 69 35 90 53	10	2025-05-30 14:00:25
FR	+33 6 53 11 44 17	12	2025-05-30 14:27:07
FR	+33 7 57 34 84 38	24	2025-05-30 14:46:58
FR	+33 6 29 30 28 03	15	2025-05-30 14:45:45
FR	+33 6 38 04 87 65	22	2025-05-30 14:46:09
FR	+33 7 00 99 28 42	24	2025-05-30 14:01:42
FR	+33 7 77 76 27 76	9	2025-05-30 14:27:32
FR	+33 6 54 18 92 30	20	2025-05-30 14:25:02
FR	+33 6 21 10 68 26	17	2025-05-30 14:35:46
FR	+33 6 45 06 08 68	17	2025-05-30 14:38:56
FR	+33 6 80 98 97 81	20	2025-05-30 14:24:32
FR	+33 6 10 10 34 74	12	2025-05-30 14:54:51
FR	+33 7 88 17 11 86	7	2025-05-30 14:50:39
FR	+33 6 89 59 80 12	2	2025-05-30 14:28:37
FR	+33 7 08 91 50 54	3	2025-05-30 14:48:08
FR	+33 6 76 80 78 74	17	2025-05-30 14:49:53
FR	+33 7 41 26 62 06	5	2025-05-30 14:57:19
FR	+33 7 20 90 55 72	17	2025-05-30 14:05:02
FR	+33 7 31 88 90 28	24	2025-05-30 14:30:55
FR	+33 6 41 52 22 51	17	2025-05-30 14:14:30
FR	+33 6 14 58 86 56	17	2025-05-30 14:42:39
FR	+33 7 16 80 91 19	2	2025-05-30 14:24:55
FR	+33 7 47 56 90 49	2	2025-05-30 14:37:24
FR	+33 7 18 81 30 52	22	2025-05-30 14:04:56
FR	+33 7 16 15 73 07	23	2025-05-30 14:36:43
FR	+33 7 06 92 19 87	5	2025-05-30 14:38:57
FR	+33 6 10 04 42 91	1	2025-05-30 14:16:44
FR	+33 6 63 90 15 52	1	2025-05-30 14:23:28
FR	+33 6 28 22 26 89	19	2025-05-30 14:15:56
FR	+33 7 57 97 12 44	2	2025-05-30 14:34:02
FR	+33 6 03 93 23 83	21	2025-05-30 14:08:55
FR	+33 7 79 87 33 91	12	2025-05-30 14:51:30
FR	+33 7 34 76 67 16	6	2025-05-30 14:45:06
FR	+33 6 89 28 21 52	23	2025-05-30 14:32:14
FR	+33 6 37 66 85 99	4	2025-05-30 14:29:53
FR	+33 7 80 22 12 45	23	2025-05-30 14:01:51
FR	+33 6 49 16 92 25	11	2025-05-30 14:38:20
FR	+33 7 06 55 89 37	24	2025-05-30 14:03:43
FR	+33 6 81 21 85 49	17	2025-05-30 14:03:57
FR	+33 7 82 48 82 29	6	2025-05-30 14:20:25
FR	+33 7 86 96 98 97	24	2025-05-30 14:29:08
FR	+33 7 70 14 38 25	5	2025-05-30 14:09:46
FR	+33 7 52 39 15 38	20	2025-05-30 14:27:41
FR	+33 7 52 21 57 93	2	2025-05-30 14:39:20
FR	+33 6 00 75 46 75	6	2025-05-30 14:03:10
FR	+33 7 51 21 58 15	22	2025-05-30 14:12:40
FR	+33 7 03 24 24 62	11	2025-05-30 14:52:42
FR	+33 6 72 28 91 61	16	2025-05-30 14:03:29
FR	+33 6 89 93 17 27	16	2025-05-30 14:13:15
FR	+33 6 86 89 76 36	1	2025-05-30 14:13:15
FR	+33 7 02 83 80 82	9	2025-05-30 14:28:37
FR	+33 6 51 79 50 24	6	2025-05-30 14:34:02
FR	+33 6 68 78 34 01	16	2025-05-30 14:18:10
FR	+33 6 21 44 94 67	3	2025-05-30 14:51:48
FR	+33 7 16 62 97 75	20	2025-05-30 14:11:30
FR	+33 6 27 52 90 76	4	2025-05-30 14:46:49
FR	+33 6 47 80 44 49	19	2025-05-30 14:19:05
FR	+33 7 13 85 04 26	3	2025-05-30 14:22:31
FR	+33 6 60 63 16 17	19	2025-05-30 14:18:59
FR	+33 6 72 05 11 86	20	2025-05-30 14:52:03
FR	+33 7 25 46 49 66	7	2025-05-30 14:24:03
FR	+33 7 22 08 67 43	20	2025-05-30 14:19:17
FR	+33 6 13 84 22 78	9	2025-05-30 14:41:47
FR	+33 6 02 54 40 36	1	2025-05-30 14:47:42
FR	+33 6 11 68 49 96	8	2025-05-30 14:36:00
FR	+33 6 07 99 55 82	7	2025-05-30 14:16:01
FR	+33 7 32 28 49 73	18	2025-05-30 14:50:59
FR	+33 6 92 04 59 51	8	2025-05-30 13:58:55
FR	+33 7 22 95 89 45	1	2025-05-30 14:23:06
FR	+33 6 56 53 26 96	11	2025-05-30 14:24:52
FR	+33 7 09 40 33 87	25	2025-05-30 14:37:39
FR	+33 7 78 52 02 57	25	2025-05-30 14:13:45
FR	+33 6 96 40 74 10	18	2025-05-30 14:53:07
FR	+33 7 44 33 33 52	23	2025-05-30 14:07:15
FR	+33 6 35 97 47 07	10	2025-05-30 14:24:57
FR	+33 6 32 77 98 80	3	2025-05-30 14:38:07
FR	+33 6 88 92 68 84	7	2025-05-30 14:04:57
FR	+33 7 08 14 33 82	16	2025-05-30 14:13:06
FR	+33 6 83 53 13 43	16	2025-05-30 14:15:08
FR	+33 6 52 28 34 65	25	2025-05-30 14:58:02
FR	+33 7 48 99 88 69	20	2025-05-30 14:09:36
FR	+33 7 64 86 97 49	17	2025-05-30 14:39:50
FR	+33 7 54 91 10 22	2	2025-05-30 14:41:17
FR	+33 6 62 76 56 68	1	2025-05-30 14:54:24
FR	+33 7 83 50 21 53	16	2025-05-30 14:03:03
FR	+33 6 87 00 95 24	12	2025-05-30 14:02:48
FR	+33 7 29 41 08 65	5	2025-05-30 14:44:21
FR	+33 6 99 15 91 77	5	2025-05-30 14:17:50
FR	+33 6 19 17 83 40	23	2025-05-30 14:08:26
FR	+33 7 11 17 89 96	9	2025-05-30 14:41:45
FR	+33 6 08 63 56 13	9	2025-05-30 14:05:19
FR	+33 7 92 98 70 36	3	2025-05-30 14:06:46
FR	+33 7 62 57 15 29	19	2025-05-30 14:11:38
FR	+33 6 84 78 17 66	16	2025-05-30 14:44:42
FR	+33 7 07 16 54 73	16	2025-05-30 14:11:01
FR	+33 6 40 27 41 49	3	2025-05-30 14:02:27
FR	+33 7 32 68 82 90	20	2025-05-30 14:21:22
FR	+33 7 35 72 50 34	24	2025-05-30 14:21:34
FR	+33 6 76 45 21 37	22	2025-05-30 14:02:11
FR	+33 6 97 09 63 45	24	2025-05-30 14:13:16
FR	+33 7 12 84 34 62	1	2025-05-30 14:58:30
FR	+33 6 35 84 23 17	24	2025-05-30 14:46:26
FR	+33 6 52 84 95 58	20	2025-05-30 14:46:38
FR	+33 6 94 39 31 20	11	2025-05-30 14:32:48
FR	+33 7 67 34 26 99	17	2025-05-30 14:31:25
FR	+33 6 45 91 12 03	8	2025-05-30 14:55:22
FR	+33 6 04 91 51 28	4	2025-05-30 14:11:29
FR	+33 6 78 84 47 67	6	2025-05-30 14:58:17
FR	+33 6 24 71 71 58	8	2025-05-30 14:11:02
FR	+33 7 80 44 67 69	20	2025-05-30 14:32:39
FR	+33 6 38 02 89 42	3	2025-05-30 14:32:39
FR	+33 7 62 76 91 88	16	2025-05-30 13:58:54
FR	+33 6 33 60 48 66	25	2025-05-30 14:38:56
FR	+33 6 98 90 05 52	3	2025-05-30 14:48:11
FR	+33 7 24 46 95 54	25	2025-05-30 14:25:51
FR	+33 6 32 08 26 64	18	2025-05-30 14:30:40
FR	+33 6 70 67 26 02	14	2025-05-30 14:18:25
FR	+33 7 36 24 00 38	18	2025-05-30 14:48:52
FR	+33 7 34 41 87 73	2	2025-05-30 13:58:58
FR	+33 6 35 00 10 96	22	2025-05-30 14:50:08
FR	+33 6 94 78 72 63	3	2025-05-30 14:39:32
FR	+33 7 77 76 33 18	16	2025-05-30 14:34:09
FR	+33 6 46 54 96 32	9	2025-05-30 14:11:54
FR	+33 7 80 79 38 08	4	2025-05-30 14:43:09
FR	+33 7 54 74 16 16	1	2025-05-30 14:55:15
FR	+33 6 90 20 09 74	4	2025-05-30 14:22:07
FR	+33 7 89 47 98 73	1	2025-05-30 14:28:24
FR	+33 6 48 55 76 59	14	2025-05-30 14:51:49
FR	+33 7 05 04 67 84	21	2025-05-30 14:45:08
FR	+33 7 87 25 10 24	16	2025-05-30 14:47:27
FR	+33 6 86 65 92 65	20	2025-05-30 14:49:11
FR	+33 7 13 14 21 26	24	2025-05-30 14:33:31
FR	+33 7 55 08 93 52	8	2025-05-30 14:38:12
FR	+33 7 58 21 00 80	7	2025-05-30 14:19:23
FR	+33 7 30 33 74 83	3	2025-05-30 14:44:55
FR	+33 6 67 79 27 54	17	2025-05-30 14:45:50
FR	+33 6 28 94 27 78	1	2025-05-30 14:22:47
FR	+33 7 45 99 69 98	16	2025-05-30 14:08:52
FR	+33 7 28 65 73 87	12	2025-05-30 14:17:08
FR	+33 6 20 73 47 16	19	2025-05-30 14:57:45
FR	+33 7 96 37 53 44	22	2025-05-30 14:54:32
FR	+33 7 04 00 68 49	23	2025-05-30 13:59:21
FR	+33 7 98 15 54 61	22	2025-05-30 14:06:17
FR	+33 7 76 77 08 47	14	2025-05-30 14:44:21
FR	+33 7 09 01 53 30	6	2025-05-30 14:01:17
FR	+33 6 22 73 98 64	6	2025-05-30 14:18:12
FR	+33 6 91 54 97 50	13	2025-05-30 14:47:43
FR	+33 7 16 69 46 50	19	2025-05-30 14:43:06
FR	+33 6 94 61 13 72	22	2025-05-30 14:48:10
FR	+33 6 89 16 32 17	8	2025-05-30 14:53:57
FR	+33 6 68 56 68 38	2	2025-05-30 14:35:39
FR	+33 7 40 12 11 84	21	2025-05-30 14:35:48
FR	+33 6 77 26 87 79	1	2025-05-30 14:22:11
FR	+33 7 97 13 45 84	15	2025-05-30 14:54:37
FR	+33 6 96 37 30 73	1	2025-05-30 14:32:46
FR	+33 6 28 58 37 99	5	2025-05-30 14:41:44
FR	+33 7 56 89 17 76	16	2025-05-30 14:52:47
FR	+33 6 50 58 94 85	19	2025-05-30 14:17:53
FR	+33 6 30 72 26 47	4	2025-05-30 13:59:12
FR	+33 6 49 53 00 82	3	2025-05-30 14:17:26
FR	+33 6 27 24 28 12	17	2025-05-30 14:45:19
FR	+33 7 98 43 53 72	17	2025-05-30 14:27:22
FR	+33 7 38 89 32 22	12	2025-05-30 14:06:20
FR	+33 6 17 70 55 79	14	2025-05-30 14:15:41
FR	+33 7 15 19 36 56	21	2025-05-30 14:33:10
FR	+33 7 88 63 39 40	6	2025-05-30 14:15:20
FR	+33 7 35 19 09 65	3	2025-05-30 14:19:04
FR	+33 7 72 70 84 16	9	2025-05-30 14:52:29
FR	+33 6 88 52 10 09	5	2025-05-30 14:34:19
FR	+33 7 07 59 36 86	24	2025-05-30 14:22:50
FR	+33 6 19 27 25 41	17	2025-05-30 14:54:19
FR	+33 6 70 90 27 22	14	2025-05-30 14:37:32
FR	+33 6 15 10 52 61	21	2025-05-30 14:20:39
FR	+33 6 72 16 01 27	3	2025-05-30 14:31:51
FR	+33 7 68 86 56 55	1	2025-05-30 14:35:03
FR	+33 6 03 57 45 15	20	2025-05-30 14:46:13
FR	+33 6 63 88 70 87	21	2025-05-30 14:30:14
FR	+33 7 35 38 20 80	23	2025-05-30 14:26:50
FR	+33 6 05 21 12 85	1	2025-05-30 14:21:55
FR	+33 6 72 79 96 76	3	2025-05-30 14:56:18
FR	+33 7 13 68 99 97	18	2025-05-30 14:04:54
FR	+33 7 05 58 11 93	25	2025-05-30 14:32:15
FR	+33 6 27 09 34 72	10	2025-05-30 14:06:48
FR	+33 6 99 09 76 31	22	2025-05-30 14:51:30
FR	+33 7 27 78 03 21	3	2025-05-30 14:19:41
FR	+33 7 46 44 28 21	8	2025-05-30 14:33:36
FR	+33 7 07 12 57 25	14	2025-05-30 14:44:40
FR	+33 6 21 50 60 16	24	2025-05-30 14:20:31
FR	+33 7 14 76 06 19	18	2025-05-30 14:47:26
FR	+33 7 82 79 95 41	15	2025-05-30 14:37:53
FR	+33 6 32 67 03 26	22	2025-05-30 14:19:53
FR	+33 6 42 48 33 93	23	2025-05-30 14:46:32
FR	+33 6 62 75 09 86	2	2025-05-30 14:54:38
FR	+33 6 29 01 54 79	10	2025-05-30 14:15:07
FR	+33 7 24 07 12 75	2	2025-05-30 14:43:06
FR	+33 7 15 64 38 10	17	2025-05-30 14:16:30
FR	+33 6 66 57 80 78	8	2025-05-30 14:51:54
FR	+33 6 97 02 17 69	1	2025-05-30 14:34:14
FR	+33 7 60 78 97 66	9	2025-05-30 14:39:58
FR	+33 6 72 76 86 96	11	2025-05-30 14:58:01
FR	+33 6 52 57 31 32	22	2025-05-30 14:14:24
FR	+33 7 30 51 93 26	16	2025-05-30 14:46:51
FR	+33 7 03 66 65 54	7	2025-05-30 14:07:58
FR	+33 6 65 08 79 89	10	2025-05-30 14:39:07
FR	+33 7 80 50 57 86	23	2025-05-30 14:32:31
FR	+33 7 06 06 74 50	3	2025-05-30 13:59:15
FR	+33 6 78 68 10 93	18	2025-05-30 14:31:34
FR	+33 7 15 04 99 90	25	2025-05-30 14:46:00
FR	+33 7 09 47 91 72	24	2025-05-30 14:27:54
FR	+33 6 26 15 84 00	13	2025-05-30 14:44:15
FR	+33 7 23 77 50 37	7	2025-05-30 14:20:47
FR	+33 7 67 40 25 33	25	2025-05-30 14:18:58
FR	+33 7 58 32 95 88	4	2025-05-30 14:13:30
FR	+33 6 56 82 60 61	13	2025-05-30 14:30:34
FR	+33 6 06 10 99 03	20	2025-05-30 14:37:21
FR	+33 6 84 58 51 39	1	2025-05-30 14:52:14
FR	+33 7 65 70 96 66	8	2025-05-30 14:24:06
FR	+33 7 95 42 91 17	14	2025-05-30 14:04:32
FR	+33 6 98 52 29 15	16	2025-05-30 14:48:35
FR	+33 6 73 84 57 89	14	2025-05-30 13:59:28
FR	+33 6 05 44 13 37	12	2025-05-30 14:38:21
FR	+33 6 76 26 45 33	19	2025-05-30 14:37:34
FR	+33 7 10 98 80 49	23	2025-05-30 14:19:01
FR	+33 6 21 46 15 71	15	2025-05-30 14:01:00
FR	+33 6 68 86 83 32	2	2025-05-30 14:02:43
FR	+33 6 75 58 78 38	2	2025-05-30 14:10:42
FR	+33 7 03 57 42 02	23	2025-05-30 14:07:59
FR	+33 6 99 58 39 84	22	2025-05-30 14:56:38
FR	+33 6 27 12 77 70	19	2025-05-30 14:07:53
FR	+33 7 09 13 56 14	25	2025-05-30 14:48:52
FR	+33 7 85 28 43 76	22	2025-05-30 14:32:46
FR	+33 7 02 63 45 10	22	2025-05-30 14:12:05
FR	+33 6 93 50 22 71	17	2025-05-30 14:49:27
FR	+33 6 05 14 62 16	20	2025-05-30 14:50:18
FR	+33 6 08 94 01 32	10	2025-05-30 14:17:10
FR	+33 7 44 32 07 88	6	2025-05-30 14:47:52
FR	+33 7 81 44 76 81	15	2025-05-30 14:19:50
FR	+33 6 69 41 17 93	22	2025-05-30 14:35:09
FR	+33 7 71 12 89 16	11	2025-05-30 14:55:36
FR	+33 7 93 03 49 09	5	2025-05-30 14:03:53
FR	+33 6 87 92 93 13	1	2025-05-30 14:24:45
FR	+33 6 05 23 32 78	8	2025-05-30 14:06:52
FR	+33 6 39 87 64 29	21	2025-05-30 14:38:57
FR	+33 7 87 74 93 26	12	2025-05-30 14:38:05
FR	+33 7 25 38 25 79	12	2025-05-30 14:33:44
FR	+33 7 39 79 09 73	5	2025-05-30 14:44:48
FR	+33 7 15 23 50 03	7	2025-05-30 14:14:31
FR	+33 6 87 31 25 04	4	2025-05-30 14:39:27
FR	+33 6 33 33 69 59	6	2025-05-30 14:13:29
FR	+33 7 33 39 18 73	13	2025-05-30 14:46:51
FR	+33 7 75 13 95 02	20	2025-05-30 14:11:45
FR	+33 7 95 93 38 90	15	2025-05-30 14:30:42
FR	+33 6 75 87 79 95	3	2025-05-30 14:05:11
FR	+33 6 96 23 34 76	23	2025-05-30 14:20:36
